City Name,Country,Latitude,Longitude,Temperature (F),Humidity,Cloudiness,Wind Speed (MPH),Time of Data Calculation
nouadhibou,MR,20.93,-17.03,80.6,51,15,17.22,2020-10-20 00:05:55
blacksburg,US,37.23,-80.41,57.61,77,1,4.7,2020-10-20 00:02:54
pundaguitan,PH,6.37,126.17,83.97,75,100,17.47,2020-10-20 00:05:55
bilibino,RU,68.05,166.44,16.23,93,17,3.27,2020-10-19 23:59:49
kaitangata,NZ,-46.28,169.85,54.52,50,71,11.95,2020-10-19 23:58:54
mana,GF,5.66,-53.78,80.26,84,1,9.73,2020-10-20 00:05:55
havelock,US,34.88,-76.9,69.13,83,90,5.82,2020-10-20 00:05:55
dillon,US,34.42,-79.37,62.15,100,1,5.95,2020-10-20 00:04:53
lupiro,TZ,-8.38,36.67,73.38,76,27,6.22,2020-10-20 00:05:55
qasigiannguit,GL,68.82,-51.19,41,56,100,17.22,2020-10-19 23:59:26
ballina,AU,-28.87,153.57,70.65,64,52,13.87,2020-10-20 00:05:56
pangnirtung,CA,66.15,-65.71,24.1,93,97,2.73,2020-10-19 23:59:04
ketchikan,US,55.34,-131.65,46.02,100,90,4.7,2020-10-20 00:01:50
dutse,NG,11.76,9.34,77.83,30,8,4.03,2020-10-20 00:05:56
zwedru,LR,6.07,-8.13,71.78,98,97,2.19,2020-10-20 00:05:56
auki,SB,-8.77,160.7,87.66,63,19,3.4,2020-10-20 00:01:23
aginskoye,RU,51.1,114.53,35.11,85,80,16.08,2020-10-20 00:05:56
hamilton,US,39.18,-84.53,54.82,100,90,3,2020-10-19 23:59:02
ornskoldsvik,SE,63.29,18.72,28.4,92,100,5.82,2020-10-19 23:59:23
geraldton,AU,-28.77,114.6,68,72,90,11.41,2020-10-19 23:58:30
boa vista,BR,2.82,-60.67,89.6,52,94,4.7,2020-10-19 23:58:49
tieli,CN,46.95,128.05,44.6,63,30,7.7,2020-10-20 00:05:57
sola,VU,-13.88,167.55,80.17,78,55,16.69,2020-10-20 00:05:57
broome,US,42.25,-75.83,54.43,93,90,8.05,2020-10-20 00:05:57
paita,PE,-5.09,-81.11,64.13,85,81,13.96,2020-10-20 00:05:57
baza,ES,37.49,-2.77,55,68,69,1.01,2020-10-20 00:05:57
tuatapere,NZ,-46.13,167.68,50,86,64,8.99,2020-10-19 23:59:13
port hedland,AU,-20.32,118.57,78.8,74,0,11.41,2020-10-19 23:59:25
wicklow,IE,53,-6.42,53.1,87,75,19.46,2020-10-20 00:05:57
balaipungut,ID,1.05,101.28,73.4,94,20,2.04,2020-10-20 00:02:22
trairi,BR,-3.28,-39.27,78.89,78,23,13.18,2020-10-19 23:57:24
tigzirt,DZ,36.89,4.12,69.01,44,0,7.7,2020-10-20 00:05:58
bad freienwalde,DE,52.79,14.03,44.26,79,64,7.38,2020-10-20 00:05:58
lata,PT,40.16,-8.33,62.51,93,100,1.01,2020-10-19 23:59:11
matamoros,MX,25.53,-103.25,93.2,14,5,5.46,2020-10-20 00:02:40
buta,CD,2.79,24.73,69.93,97,100,1.45,2020-10-20 00:05:58
billings,US,45.78,-108.5,33.35,96,90,4.7,2020-10-19 23:57:13
birjand,IR,32.87,59.22,37.4,17,0,9.17,2020-10-20 00:05:58
sheridan,US,44.83,-106.92,34.75,80,90,3.36,2020-10-19 23:59:44
hofn,IS,64.25,-15.21,38.71,73,28,12.01,2020-10-19 23:59:41
taoudenni,ML,22.68,-3.98,82.06,20,0,15.48,2020-10-19 23:59:15
rio gallegos,AR,-51.62,-69.22,44.6,45,40,31.09,2020-10-20 00:02:29
san carlos de bariloche,AR,-41.15,-71.31,42.8,60,40,13.87,2020-10-20 00:05:59
karratha,AU,-20.74,116.85,74.32,50,0,3.69,2020-10-20 00:04:20
kutum,SD,14.2,24.67,74.61,20,15,9.31,2020-10-20 00:05:59
kwinana,AU,-32.25,115.77,64.72,72,40,10.29,2020-10-20 00:05:59
torrevieja,ES,37.98,-0.68,61.11,85,10,1.99,2020-10-20 00:05:59
road town,VG,18.42,-64.62,80.85,74,40,5.82,2020-10-20 00:05:59
grand gaube,MU,-20.01,57.66,71.01,79,16,3,2020-10-20 00:05:43
takoradi,GH,4.88,-1.76,77.16,89,23,8.88,2020-10-20 00:06:00
guerrero negro,MX,27.98,-114.06,78.89,55,0,16.13,2020-10-19 23:58:59
lac du bonnet,CA,50.25,-96.06,33.01,58,71,4.65,2020-10-20 00:06:00
boca do acre,BR,-8.75,-67.4,74.91,86,99,1.21,2020-10-20 00:06:00
sijunjung,ID,-0.69,100.95,73.54,82,51,1.03,2020-10-19 23:58:46
vostok,RU,46.49,135.88,38.71,71,0,2.62,2020-10-19 23:59:47
watsa,CD,3.04,29.54,65.17,100,100,1.81,2020-10-20 00:06:00
kamenka,RU,51.32,42.77,39.27,88,64,6.62,2020-10-20 00:06:00
chivay,PE,-15.64,-71.6,48.54,48,16,8.84,2020-10-20 00:06:01
voh,NC,-20.97,164.7,85.01,44,34,2.24,2020-10-20 00:06:01
moindou,NC,-21.69,165.68,84.2,51,17,10.29,2020-10-20 00:06:01
torbay,CA,47.67,-52.73,50.56,87,75,9.17,2020-10-19 23:56:02
varlamovo,RU,53.19,48.42,40.33,70,100,5.5,2020-10-20 00:06:01
sao raimundo das mangabeiras,BR,-7.02,-45.48,84.06,30,7,3.51,2020-10-20 00:06:01
quatre cocos,MU,-20.21,57.76,72.14,78,40,9.17,2020-10-19 23:59:24
aswan,EG,24.09,32.91,77.92,25,0,5.41,2020-10-20 00:06:01
collie,AU,-33.37,116.15,61,77,85,3,2020-10-20 00:06:02
oltu,TR,40.55,42,48.96,81,22,1.77,2020-10-20 00:06:02
acapulco,MX,16.86,-99.89,86,79,40,8.05,2020-10-20 00:04:02
ribeira grande,PT,38.52,-28.7,64.17,68,46,27.69,2020-10-19 23:57:18
baker city,US,44.77,-117.83,61.66,36,1,5.82,2020-10-20 00:06:02
touros,BR,-5.2,-35.46,77,83,40,4.7,2020-10-20 00:04:29
laives,IT,46.42,11.33,37,85,43,2.33,2020-10-20 00:06:02
varhaug,NO,58.61,5.65,46,99,100,1.99,2020-10-20 00:06:02
pemberton,CA,50.32,-122.8,52.23,81,90,2.24,2020-10-20 00:06:02
bundaberg,AU,-24.85,152.35,79.14,57,40,12.75,2020-10-20 00:06:03
coruripe,BR,-10.13,-36.18,75.65,80,48,12.12,2020-10-20 00:06:03
gwadar,PK,25.12,62.33,76.17,26,2,7.76,2020-10-20 00:06:03
inirida,CO,3.87,-67.92,77.81,83,81,2.46,2020-10-20 00:06:03
salalah,OM,17.02,54.09,80.6,54,75,3.36,2020-10-19 23:57:19
ahome,MX,25.92,-109.18,89.6,46,5,12.75,2020-10-20 00:06:03
shebunino,RU,46.43,141.86,46.24,54,33,13.33,2020-10-20 00:06:03
pangody,RU,65.85,74.49,25.05,98,97,5.14,2020-10-19 23:59:07
kitui,KE,-1.37,38.01,65.05,87,69,7.16,2020-10-20 00:06:04
jurm,AF,36.86,70.83,46.2,49,0,3.29,2020-10-20 00:06:04
yuanping,CN,38.72,112.76,49.59,46,47,0.74,2020-10-20 00:06:04
sorong,ID,-0.88,131.25,80.76,79,100,7.23,2020-10-20 00:05:01
bure,ET,10.7,37.07,53.35,91,9,4.43,2020-10-20 00:06:04
nhulunbuy,AU,-12.23,136.77,87.8,52,20,11.41,2020-10-20 00:06:04
la ronge,CA,55.1,-105.28,26.6,58,90,4.7,2020-10-20 00:06:04
constitucion,CL,-35.33,-72.42,54.43,62,33,16.42,2020-10-19 23:59:45
paamiut,GL,61.99,-49.67,41.27,74,100,19.37,2020-10-19 23:58:44
harrismith,ZA,-28.27,29.13,63.93,30,17,6.87,2020-10-20 00:06:05
airai,TL,-8.93,125.41,75.13,40,9,2.48,2020-10-19 23:59:03
qianan,CN,44.99,124.06,50.43,75,0,16.87,2020-10-20 00:06:05
isangel,VU,-19.55,169.27,80.6,65,75,11.41,2020-10-20 00:06:05
bauchi,NG,10.5,10,75.29,72,10,3.69,2020-10-20 00:06:05
ambilobe,MG,-13.2,49.05,72.54,74,13,2.17,2020-10-20 00:06:05
azua,DO,18.45,-70.73,67.84,78,20,6.93,2020-10-20 00:06:05
kamoke,PK,31.97,74.22,65.46,77,0,3.44,2020-10-20 00:06:05
comodoro rivadavia,AR,-45.87,-67.5,57.2,35,65,9.17,2020-10-20 00:05:03
kalabo,ZM,-14.97,22.68,70.99,20,0,5.95,2020-10-20 00:06:06
mao,ES,39.89,4.27,60.8,77,25,6.93,2020-10-20 00:06:06
yozgat,TR,39.58,35.33,52.81,87,100,5.82,2020-10-20 00:06:06
bandarban,BD,22.2,92.23,73.9,97,78,2.59,2020-10-20 00:06:06
pinheiro,BR,-2.52,-45.08,75.88,84,74,3.87,2020-10-20 00:02:48
nagato,JP,34.38,131.2,60.84,55,20,6.93,2020-10-20 00:04:45
tobol,KZ,52.68,62.58,48.31,49,86,9.82,2020-10-20 00:06:06
hammerfest,NO,70.66,23.68,33.8,100,75,8.05,2020-10-20 00:06:06
harper,LR,4.38,-7.72,77.76,82,74,7.18,2020-10-19 23:59:20
asyut,EG,27.18,31.18,75.2,60,0,6.93,2020-10-20 00:06:07
vitim,RU,59.45,112.56,26.62,94,93,10.71,2020-10-20 00:05:18
waipawa,NZ,-41.41,175.52,61.83,67,34,24.16,2020-10-20 00:01:20
utinga,BR,-5.82,-35.4,77,83,40,4.7,2020-10-20 00:06:07
fushan,CN,37.5,121.26,59.88,48,0,4.23,2020-10-20 00:06:07
westport,US,41.14,-73.36,58.44,77,1,11.41,2020-10-20 00:03:04
whitehorse,CA,60.72,-135.05,25.47,68,90,1.61,2020-10-20 00:06:07
lorengau,PG,-2.02,147.27,85.5,64,57,2.95,2020-10-19 23:59:50
madaoua,NE,14.07,5.96,88.03,20,0,4.65,2020-10-20 00:06:07
mulgund,IN,15.25,75.53,69.12,95,99,7.2,2020-10-20 00:06:07
grakhovo,RU,56.05,51.97,32,82,40,8.95,2020-10-20 00:06:08
gordeyevka,RU,52.96,31.97,36.93,84,40,11.41,2020-10-20 00:06:08
tessalit,ML,20.2,1.01,80.73,16,0,8.46,2020-10-19 23:59:14
saint anthony,US,45.02,-93.22,32.86,80,90,4.7,2020-10-20 00:06:08
roald,NO,62.58,6.13,36.32,63,4,19.46,2020-10-20 00:06:08
poso,ID,-1.4,120.75,87.01,61,40,2.37,2020-10-20 00:06:08
vestmannaeyjar,IS,63.44,-20.27,40.08,79,99,4.12,2020-10-19 23:58:53
tinskoy,RU,56.15,96.92,28.98,89,100,7.83,2020-10-20 00:06:08
marrakesh,MA,31.63,-8.01,68,45,20,4.7,2020-10-20 00:06:09
omboue,GA,-1.57,9.26,77.11,86,100,7.27,2020-10-20 00:06:09
khani,GE,41.96,42.96,62.6,93,90,13.87,2020-10-20 00:06:09
kapit,MY,2.02,112.93,77.29,89,96,1.32,2020-10-20 00:06:09
providencia,MX,28.72,-111.58,92.64,34,0,7,2020-10-20 00:06:09
nizwa,OM,22.93,57.53,69.48,24,1,3.42,2020-10-20 00:06:09
klaksvik,FO,62.23,-6.59,37.4,93,11,5.82,2020-10-19 23:58:58
chulumani,BO,-16.41,-67.53,62.46,76,36,2.15,2020-10-20 00:06:09
najran,SA,17.49,44.13,60.8,26,0,2.24,2020-10-20 00:05:12
diamantino,BR,-14.41,-56.45,74.62,79,100,3.58,2020-10-20 00:06:10
san rafael,AR,-34.62,-68.33,67.91,24,0,11.65,2020-10-20 00:06:10
popondetta,PG,-8.75,148.25,88,55,38,3.76,2020-10-20 00:06:10
richmond hill,CA,43.87,-79.44,45.34,88,100,1.01,2020-10-20 00:02:03
san jose,US,37.34,-121.89,83.86,26,1,4.7,2020-10-19 23:59:49
yerbogachen,RU,61.28,108.01,24.42,94,99,11.97,2020-10-19 23:59:55
mechetinskaya,RU,46.77,40.46,52.81,75,66,8.57,2020-10-20 00:06:10
lambarene,GA,-0.7,10.24,74.5,95,100,3.42,2020-10-20 00:06:10
makat,KZ,47.65,53.35,56.43,32,56,9.93,2020-10-20 00:06:10
marinette,US,45.1,-87.63,36.45,51,90,4.83,2020-10-20 00:02:09
tabou,CI,4.42,-7.35,77.31,81,82,6.62,2020-10-20 00:06:11
tongzi,CN,28.78,105.09,56.41,95,100,4.29,2020-10-20 00:06:11
mudgee,AU,-32.59,149.59,65.71,59,75,5.82,2020-10-20 00:06:11
kathmandu,NP,27.72,85.32,64.4,100,75,2.24,2020-10-20 00:05:20
plettenberg bay,ZA,-34.05,23.37,58.82,76,100,11.83,2020-10-20 00:06:11
coahuayana,MX,18.73,-103.68,78.8,83,75,9.17,2020-10-20 00:06:11
mersing,MY,2.43,103.84,77,94,35,2.24,2020-10-20 00:06:11
anadyr,RU,64.75,177.48,37.18,64,68,11.18,2020-10-19 23:58:40
fershampenuaz,RU,53.52,59.81,48.47,49,94,6.62,2020-10-20 00:06:12
bucak,TR,37.46,30.59,58.48,93,40,3.36,2020-10-20 00:03:41
weligama,LK,5.97,80.42,78.49,87,85,11.99,2020-10-20 00:06:12
kristinehamn,SE,59.31,14.11,32,86,100,3.69,2020-10-20 00:06:12
dubai,AE,25.26,55.3,75.4,39,0,1.12,2020-10-20 00:03:49
fairview,US,40.81,-74,60.76,82,1,7.72,2020-10-20 00:06:12
inuvik,CA,68.35,-133.72,23,92,90,4.7,2020-10-20 00:06:12
chunhuhub,MX,19.55,-88.68,75.22,93,42,2.64,2020-10-20 00:06:13
muzhi,RU,65.37,64.67,15.33,97,52,0.6,2020-10-20 00:06:13
porto novo,BJ,6.5,2.6,73.4,94,40,1.12,2020-10-19 23:59:27
candido de abreu,BR,-24.57,-51.33,69.46,71,4,2.19,2020-10-20 00:06:13
villarrica,PY,-25.75,-56.43,79.88,48,0,4.38,2020-10-20 00:06:13
kavaratti,IN,10.57,72.64,80.74,74,96,10.87,2020-10-19 23:59:20
bafq,IR,31.61,55.41,52.43,36,0,4.18,2020-10-20 00:06:13
binabalian,PH,16.42,119.93,82.87,74,99,8.48,2020-10-20 00:06:13
komsomolskiy,UZ,40.43,71.72,50,53,0,6.93,2020-10-20 00:06:14
jibuti,DJ,11.5,42.5,82.4,58,1,6.58,2020-10-20 00:06:14
slonim,BY,53.09,25.32,37.71,87,20,9.01,2020-10-20 00:06:14
lunel,FR,43.68,4.14,58.35,82,75,18.34,2020-10-20 00:06:14
caravelas,BR,-17.71,-39.25,73.53,79,100,5.93,2020-10-19 23:58:50
quimper,FR,48,-4.1,57.2,100,75,8.05,2020-10-20 00:02:13
oranjestad,AW,12.52,-70.03,84.2,79,40,13.87,2020-10-20 00:02:46
conceicao do araguaia,BR,-8.26,-49.26,84.34,42,91,2.8,2020-10-19 23:58:43
henties bay,NA,-22.12,14.28,57,88,0,1.99,2020-10-20 00:01:47
kohlu,PK,29.9,69.25,54.32,26,0,2.28,2020-10-20 00:06:14
oktyabrskoye,RU,43.06,44.74,57.2,82,88,6.71,2020-10-20 00:06:15
ahipara,NZ,-35.17,173.17,65.26,65,99,10.18,2020-10-19 23:59:02
honningsvag,NO,70.98,25.97,40.68,76,100,14.36,2020-10-19 23:59:39
chapais,CA,49.78,-74.85,32,95,75,2.24,2020-10-19 23:58:43
sao filipe,CV,14.9,-24.5,82.72,66,29,3.8,2020-10-19 23:59:11
snihurivka,UA,47.08,32.81,44.29,76,0,6.62,2020-10-20 00:06:15
abonnema,NG,4.71,6.79,76.35,91,38,3.91,2020-10-20 00:06:15
azul,AR,-36.78,-59.86,55.99,62,91,4,2020-10-20 00:06:15
derzhavinsk,KZ,51.1,66.32,47.66,75,0,10.6,2020-10-20 00:06:15
kafanchan,NG,9.58,8.3,69.21,91,48,1.54,2020-10-19 23:58:32
nagornyy,RU,52.8,83.55,35.6,59,100,15.66,2020-10-20 00:06:16
pacific grove,US,36.62,-121.92,70.54,49,20,4.7,2020-10-19 23:55:00
namie,JP,37.48,141,54.36,87,75,1.12,2020-10-20 00:06:16
grindavik,IS,63.84,-22.43,35.6,70,40,9.17,2020-10-19 23:59:06
mahasamund,IN,21.1,82.1,71.6,86,9,3.15,2020-10-20 00:06:16
csorvas,HU,46.63,20.83,41,91,23,3.27,2020-10-20 00:06:16
borovoy,RU,55.43,86.08,32,89,90,15.66,2020-10-20 00:06:16
abaete,BR,-19.16,-45.45,65.28,91,94,3.91,2020-10-20 00:06:16
swansea,GB,51.62,-3.94,53.65,93,100,16.11,2020-10-20 00:02:24
ponta do sol,PT,32.67,-17.1,67.33,88,75,6.93,2020-10-19 23:59:21
mahalapye,BW,-23.1,26.81,78.87,24,0,14.79,2020-10-20 00:06:17
sukhumi,GE,43,41.02,62.15,80,64,2.93,2020-10-20 00:06:17
ust-ishim,RU,57.69,71.17,38.77,96,75,5.59,2020-10-20 00:06:17
gazanjyk,TM,39.24,55.52,54.07,44,0,2.21,2020-10-20 00:06:17
madukkur,IN,10.48,79.4,78.71,83,99,4.81,2020-10-20 00:06:17
saint-georges,GD,12.06,-61.75,84.2,79,20,5.82,2020-10-20 00:02:24
upleta,IN,21.73,70.28,80.11,82,71,3.04,2020-10-20 00:06:17
rifu,JP,38.32,140.97,53.6,87,40,3.36,2020-10-20 00:06:18
xuanzhou,CN,30.95,118.76,58.66,79,0,6.31,2020-10-20 00:06:18
saint-francois,FR,46.42,3.91,57.2,67,83,12.75,2020-10-19 23:58:22
beloha,MG,-25.17,45.05,62.51,91,0,2.57,2020-10-19 23:59:45
kem,RU,64.96,34.58,35.82,82,99,16.35,2020-10-20 00:06:18
batagay,RU,67.63,134.63,11.39,94,100,4.07,2020-10-20 00:06:18
finnsnes,NO,69.23,17.98,12.2,92,0,9.17,2020-10-20 00:01:56
neiafu,TO,-18.65,-173.98,80.6,65,40,10.29,2020-10-19 23:59:55
puerto del rosario,ES,28.5,-13.86,71.6,78,21,2.24,2020-10-20 00:06:18
vao,NC,-22.67,167.48,73.4,77,47,18.52,2020-10-19 23:58:27
poum,NC,-20.23,164.02,75.2,70,0,8.32,2020-10-20 00:06:19
calabozo,VE,8.92,-67.43,76.95,88,42,1.32,2020-10-20 00:06:19
ercis,TR,39.03,43.36,41,60,5,3.36,2020-10-20 00:06:19
mogadishu,SO,2.04,45.34,78.64,85,3,11.12,2020-10-20 00:05:11
tosya,TR,41.02,34.04,50.85,74,100,4.03,2020-10-20 00:06:19
